,No Resample,Undersample,Oversample
female,0.01732838034754673,0.021450393722887227,0.017691279586362702
male,0.018551910344985385,0.027087140788300816,0.01854117289733105
older,0.013844918228526399,0.02037791524540505,0.013115701845943442
younger,0.01941078826661816,0.02504040500040851,0.01736235402608279
stage_cat_0,0.0019574550334884567,0.0,0.0035434855091532767
stage_cat_1,0.0276945202449762,0.077472579904778,0.10137371621537306
stage_cat_2,0.03223764846940145,0.1698120127880763,0.14007858268248854
stage_cat_3,0.0009794962336153565,0.0,0.0006601710559438092
stage_cat_4,0.026682915438873887,0.03762756459319169,0.025978046471703656
stage_cat_5,0.02332095631528198,0.027702708891479445,0.02896064827706111
stage_cat_6,0.026381468632982196,0.009429702921768163,0.011217060707391351
stage_cat_7,0.027211909523322902,0.036673110246847246,0.03037794619037803
stage_cat_8,0.005488647955054868,0.010723542687169123,0.009312680872683709
stage_cat_9,0.2657038140267582,0.1533881165520275,0.15846681091875045
smoke_h_cat_0,0.02032112934042834,0.024333755700590362,0.023975098589180198
smoke_h_cat_1,0.015139616393145703,0.014609473865990706,0.013507562268512742
smoke_h_cat_2,0.0012378080152484463,0.0,0.001580188523066504
smoke_h_cat_3,0.01943198859695655,0.01712191442807208,0.022358712353273514
smoke_h_cat_4,0.0028706173718847927,0.0011239808345236768,0.001452653097992534
SMOKING_PACK_YEARS,0.19960131100184536,0.1669069539923022,0.1781146022269054
COUNT_MUT,0.23460270021905846,0.15911872783618194,0.182331525684422
